ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
Guerrero,2,2018,.68089283,.27243149,.40846136,.87723106,.48502529,.33224675,.17124669,.065414101,.39766085,9596.339060071243
Guerrero,1,2020,.65922558,.25143662,.40778896,.88220966,.52711749,.33970231,.16352883,.086532965,.42623529,10903.71029178295
Guerrero,2,2020,.6684795,.25834638,.41013315,.87935984,.51126009,.33334795,.1639463,.080401674,.41374964,10649.99299341592
Guerrero,1,2022,.59564131,.22413835,.37150297,.87063533,.56155545,.33088884,.15210049,.11911906,.45000789,14869.23149153349
Guerrero,2,2022,.61066812,.22064425,.39002386,.86114305,.54435885,.33112711,.14835997,.10465714,.43578425,13938.62169993056
Hidalgo,1,2016,.56577355,.095634513,.47013906,.80995625,.27098042,.21694113,.055863235,.075899303,.29284045,10597.08856977845
Hidalgo,2,2016,.57210165,.094635002,.47746661,.80888873,.24774328,.21462561,.055615511,.070433065,.28505868,10420.62947834023
Hidalgo,1,2018,.49168187,.070007153,.42167473,.82049787,.24734329,.18374209,.041633364,.10275704,.28649914,13224.11926052832
Hidalgo,2,2018,.50526714,.070559725,.43470743,.80514777,.22834636,.18196173,.042071704,.087427303,.26938903,13017.62143332786
Hidalgo,1,2020,.49918348,.081167452,.41801602,.77524835,.2684848,.19835815,.048645075,.089869656,.2882278,13368.75475440031
Hidalgo,2,2020,.5149529,.081658974,.43329394,.77645409,.24548437,.1974097,.048266981,.079392388,.27680209,12837.50927128753
Hidalgo,1,2022,.39942661,.063460872,.33596575,.7818979,.31019914,.17301019,.040398773,.14046159,.31347176,18256.1053299158
Hidalgo,2,2022,.41944498,.07165996,.347785,.77775139,.30083403,.18145047,.045413513,.1247953,.30624577,17223.62532553532
Jalisco,1,2016,.29438639,.014510982,.27987543,.61803931,.11748013,.094959207,.0081415446,.09230075,.18725996,17066.16345600583
Jalisco,2,2016,.31443223,.014941455,.29949078,.6235832,.094833486,.095633075,.0085557019,.081813753,.17744683,17758.05441755597
Jalisco,1,2018,.26824221,.02365127,.24459095,.62495512,.14139961,.095252529,.014769435,.10377595,.19902848,20230.86533450852
Jalisco,2,2018,.28728291,.022379061,.26490384,.61103129,.11769903,.098094568,.013883287,.087603636,.18569821,19543.46141033185
Jalisco,1,2020,.30803373,.02894468,.27908906,.61455303,.16799292,.11267097,.018391136,.10011273,.21278369,19586.9187711931
Jalisco,2,2020,.31986347,.031065717,.28879774,.58192486,.14579953,.11328017,.018547444,.079583295,.19286346,18000.84209430301
Jalisco,1,2022,.21355501,.02099189,.19256313,.59901041,.17465575,.083523348,.01271178,.12694952,.21047287,24601.08635657512
Jalisco,2,2022,.22282915,.021465542,.20136361,.5938946,.15115191,.082506329,.012831072,.11675309,.19925942,23934.49237343793
México,1,2016,.45678648,.058061928,.39872456,.67738372,.17417206,.16229522,.035300039,.062899426,.22519465,13736.64011328281
México,2,2016,.47526777,.055581916,.41968584,.67263639,.1591347,.16068688,.033590041,.053895827,.21458271,13362.67392918731
